"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"pDC.CAPG",2.45899643384956e-07,0.669176839190684,0.618,0.415,0.00601937737042034,"pDC"
"pDC.SCARB1",2.69729556559243e-07,1.16471950035884,0.27,0.118,0.0066027098150137,"pDC"
"pDC.CYB561A3",2.89201164146096e-07,0.647989585125861,0.593,0.391,0.0070793552971323,"pDC"
"pDC.IRF1",3.52256185939789e-07,1.09877084498114,0.252,0.104,0.0086228791756201,"pDC"
"pDC.AL136018.1",4.54511264886741e-07,1.27617603585814,0.227,0.09,0.0111259812531625,"pDC"
"pDC.RPSA",4.92277744117145e-07,0.533705960005627,0.714,0.566,0.0120504668982436,"pDC"
"pDC.RHOU",5.14880523797429e-07,3.73685795471918,0.078,0.007,0.0126037603420373,"pDC"
"pDC.EPHB1",5.23971417134622e-07,0.697049367230173,0.438,0.235,0.0128262963200384,"pDC"
"pDC.STK10",5.32398969254572e-07,0.921265428894268,0.301,0.14,0.0130325943683827,"pDC"
"pDC.SLFN11",5.53466609559657e-07,1.10497986987212,0.248,0.102,0.0135483091354108,"pDC"
"pDC.NDUFC1",5.77194245795553e-07,0.941497527996966,0.379,0.204,0.0141291379428294,"pDC"
"pDC.NRBF2",6.24419388654468e-07,1.57854970263947,0.189,0.066,0.0152851622148727,"pDC"
"pDC.S100P",6.51212869604904e-07,1.38048336954119,0.152,0.045,0.0159410398350584,"pDC"
"pDC.SH2B3",7.10037105361967e-07,0.937116556104211,0.329,0.164,0.0173809983021556,"pDC"
"pDC.SDHAF3",8.01455884776948e-07,1.01241145240517,0.329,0.173,0.0196188386034549,"pDC"
"pDC.CHCHD10",8.26597683150758e-07,0.829382809879615,0.429,0.242,0.0202342846858474,"pDC"
"pDC.PSME2",8.86561237541718e-07,0.804393312905858,0.516,0.332,0.0217021325337837,"pDC"
"pDC.MYMX",8.99866602599493e-07,6.28141493610828,0.056,0,0.022027834565033,"pDC"
"pDC.PTMS",9.18625694750933e-07,0.871603604839515,0.398,0.22,0.0224870383818081,"pDC"
"pDC.RUFY4",9.31339719211122e-07,2.21266549865388,0.102,0.019,0.0227982649865691,"pDC"
"pDC.CLNS1A",9.6941013895157e-07,0.946676699623074,0.354,0.187,0.0237301907913955,"pDC"
"pDC.PMEPA1",1.05883575342756e-06,1.29251572826851,0.217,0.088,0.0259192404081532,"pDC"
"pDC.IFI6",1.05908481329611e-06,4.01902252244424,0.075,0.007,0.0259253371446755,"pDC"
