,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SIX6,1.47418130802938e-34,0.606511535234308,0.748,0.715,2.94836261605876e-31,2,SIX6
RAD51AP11,1.56899717859115e-34,0.56276598213075,0.758,0.718,3.1379943571823e-31,2,RAD51AP1
RMI2,2.53503582814886e-34,0.98047311089273,0.625,0.505,5.07007165629772e-31,2,RMI2
RAB17,2.9640516634427e-34,0.171872920911714,0.093,0.242,5.9281033268854e-31,2,RAB17
BICD1,4.46162485085095e-34,0.466953786701308,0.876,0.813,8.9232497017019e-31,2,BICD1
LINC01763,6.49549887601352e-34,1.11304489843891,0.187,0.406,1.2990997752027e-30,2,LINC01763
SRD5A31,1.50157362400085e-33,0.414213314954341,0.862,0.81,3.00314724800171e-30,2,SRD5A3
AC092661.11,1.72857103203979e-33,0.668988598761873,0.146,0.243,3.45714206407959e-30,2,AC092661.1
SDF2L1,3.20083101476173e-33,0.406020564397957,0.815,0.778,6.40166202952346e-30,2,SDF2L1
PCLO1,3.59731816972426e-33,0.774824436312672,0.171,0.198,7.19463633944852e-30,2,PCLO
STT3B1,4.41770124912747e-33,0.263817368809697,0.99,0.964,8.83540249825495e-30,2,STT3B
AC006033.2,1.21474145890054e-32,1.22038548728877,0.169,0.18,2.42948291780109e-29,2,AC006033.2
EBP1,1.61968446115561e-32,0.347987934986179,0.897,0.852,3.23936892231122e-29,2,EBP
KANK2,2.51287177839282e-32,1.66970106428306,0.588,0.534,5.02574355678563e-29,2,KANK2
BRIP11,1.13365108775144e-31,0.85522032630508,0.65,0.646,2.26730217550288e-28,2,BRIP1
BST11,1.32123365114989e-31,0.299974183453481,0.265,0.388,2.64246730229978e-28,2,BST1
FAM111A1,1.8038026577251e-31,0.380894957957055,0.876,0.81,3.60760531545021e-28,2,FAM111A
SCD,2.10991010793189e-31,0.260970691580099,0.982,0.965,4.21982021586379e-28,2,SCD
FOXD3,5.23653359092774e-31,0.607807211892737,0.154,0.246,1.04730671818555e-27,2,FOXD3
LAT1,5.24621970283853e-31,0.231002013735528,0.921,0.876,1.04924394056771e-27,2,LAT
ZNF350,6.41441453134684e-31,1.76070715806402,0.099,0.101,1.28288290626937e-27,2,ZNF350
BEX31,8.99179980122497e-31,0.27750764839019,0.94,0.898,1.79835996024499e-27,2,BEX3
CCND31,1.68919983844854e-30,0.369082353161835,0.895,0.856,3.37839967689707e-27,2,CCND3
TAGLN21,3.1056559451589e-30,0.242056893255522,0.983,0.94,6.2113118903178e-27,2,TAGLN2
AL137786.11,3.48275431309919e-30,0.252865578540896,0.28,0.412,6.96550862619838e-27,2,AL137786.1
CD93,3.60500384174173e-30,0.893651857819536,0.183,0.375,7.21000768348347e-27,2,CD93
FAM241B1,7.41115205813446e-30,0.434225171796547,0.797,0.739,1.48223041162689e-26,2,FAM241B
AC109460.31,1.51130036378399e-29,0.225506461351106,0.935,0.895,3.02260072756798e-26,2,AC109460.3
HES41,2.0043754066047e-29,0.43902611366875,0.786,0.75,4.0087508132094e-26,2,HES4
AL133353.11,4.8450605407879e-29,0.70969189601118,0.219,0.297,9.69012108157581e-26,2,AL133353.1
CBX5P11,7.46536189123816e-29,0.669564263457126,0.113,0.342,1.49307237824763e-25,2,CBX5P1
PSMB8,1.24242467889863e-28,0.30229679947607,0.879,0.855,2.48484935779726e-25,2,PSMB8
SLC32A12,2.35045108230102e-28,0.611891596849473,0.132,0.341,4.70090216460203e-25,2,SLC32A1
AC006486.22,3.30173496421305e-28,0.594521538403532,0.311,0.426,6.6034699284261e-25,2,AC006486.2
ENO21,5.5026982855956e-28,0.410138711526661,0.837,0.781,1.10053965711912e-24,2,ENO2
AL450405.1,8.28194918024276e-28,0.265396417722957,0.924,0.899,1.65638983604855e-24,2,AL450405.1
AL022323.4,1.34165367284995e-27,1.63285390731881,0.189,0.187,2.6833073456999e-24,2,AL022323.4
AL353579.11,1.01155963352773e-26,1.83042079818439,0.154,0.162,2.02311926705546e-23,2,AL353579.1
STYK1,3.39583836556311e-26,0.958798640357496,0.049,0.148,6.79167673112622e-23,2,STYK1
AC006249.1,5.86453424341236e-26,0.730781215035032,0.138,0.387,1.17290684868247e-22,2,AC006249.1
POU4F1,7.30336414755624e-26,0.474605498251746,0.726,0.637,1.46067282951125e-22,2,POU4F1
FDPS1,8.25059485460362e-26,0.224473770934436,0.993,0.974,1.65011897092072e-22,2,FDPS
ZNF7041,8.92342277656327e-26,0.12946696387188,0.202,0.347,1.78468455531265e-22,2,ZNF704
MNS11,1.02396404792684e-25,0.443646701973659,0.223,0.439,2.04792809585369e-22,2,MNS1
PLSCR1,3.18009478146166e-25,0.95291204390546,0.587,0.528,6.36018956292331e-22,2,PLSCR1
HERC5,3.89730056359029e-25,0.721890116441088,0.708,0.638,7.79460112718058e-22,2,HERC5
SMC61,4.33046386084534e-25,0.364072850667456,0.828,0.799,8.66092772169068e-22,2,SMC6
H2AFZ1,4.93852999181091e-25,0.176146906811488,1,0.994,9.87705998362182e-22,2,H2AFZ
